Plan Name,CPUS,CPU Type,Memory,Included Storage,Additional Storage Price,Price,Included Bandwidth,Additional Bandwidth Price
shared-cpu-1x,1,Shared,0.25,0,0.000205479,0.0027,0,0.02
shared-cpu-1x,1,Shared,0.5,0,0.000205479,0.0044,0,0.02
shared-cpu-1x,1,Shared,1,0,0.000205479,0.0079,0,0.02
shared-cpu-1x,1,Shared,2,0,0.000205479,0.0149,0,0.02
shared-cpu-2x,2,Shared,0.5,0,0.000205479,0.0054,0,0.02
shared-cpu-2x,2,Shared,1,0,0.000205479,0.0089,0,0.02
shared-cpu-2x,2,Shared,2,0,0.000205479,0.0158,0,0.02
shared-cpu-2x,2,Shared,4,0,0.000205479,0.0297,0,0.02
shared-cpu-4x,4,Shared,1,0,0.000205479,0.0108,0,0.02
shared-cpu-4x,4,Shared,2,0,0.000205479,0.0177,0,0.02
shared-cpu-4x,4,Shared,4,0,0.000205479,0.0316,0,0.02
shared-cpu-4x,4,Shared,8,0,0.000205479,0.0594,0,0.02
shared-cpu-8x,8,Shared,2,0,0.000205479,0.0216,0,0.02
shared-cpu-8x,8,Shared,4,0,0.000205479,0.0355,0,0.02
shared-cpu-8x,8,Shared,8,0,0.000205479,0.0633,0,0.02
shared-cpu-8x,8,Shared,16,0,0.000205479,0.1189,0,0.02
performance-1x,1,Dedicated,2,0,0.000205479,0.0431,0,0.02
performance-1x,1,Dedicated,4,0,0.000205479,0.057,0,0.02
performance-1x,1,Dedicated,8,0,0.000205479,0.0847,0,0.02
performance-2x,2,Dedicated,4,0,0.000205479,0.0861,0,0.02
performance-2x,2,Dedicated,8,0,0.000205479,0.1139,0,0.02
performance-2x,2,Dedicated,16,0,0.000205479,0.1695,0,0.02
performance-4x,4,Dedicated,8,0,0.000205479,0.1722,0,0.02
performance-4x,4,Dedicated,16,0,0.000205479,0.2278,0,0.02
performance-4x,4,Dedicated,32,0,0.000205479,0.339,0,0.02
performance-8x,8,Dedicated,16,0,0.000205479,0.3444,0,0.02
performance-8x,8,Dedicated,32,0,0.000205479,0.4556,0,0.02
performance-8x,8,Dedicated,64,0,0.000205479,0.678,0,0.02
performance-16x,16,Dedicated,32,0,0.000205479,0.6889,0,0.02
performance-16x,16,Dedicated,64,0,0.000205479,0.9112,0,0.02
performance-16x,16,Dedicated,128,0,0.000205479,1.3559,0,0.02
