Plan Name,CPUS,CPU Type,Memory,Included Storage,Additional Storage Price,Price,Included Bandwidth,Additional Bandwidth Price
CPX11,2,Shared,2,40,6.63014E-05,0.008,1000,0.0012
CPX21,3,Shared,4,80,6.63014E-05,0.0161,2000,0.0012
CPX31,4,Shared,8,160,6.63014E-05,0.0289,3000,0.0012
CPX41,8,Shared,16,240,6.63014E-05,0.0537,4000,0.0012
CPX51,16,Shared,32,360,6.63014E-05,0.1074,5000,0.0012
CCX13,2,Dedicated,8,80,6.63014E-05,0.0233,1000,0.0012
CCX23,4,Dedicated,16,160,6.63014E-05,0.0465,2000,0.0012
CCX33,8,Dedicated,32,240,6.63014E-05,0.089,3000,0.0012
CCX43,16,Dedicated,64,360,6.63014E-05,0.1779,4000,0.0012
CCX53,32,Dedicated,128,600,6.63014E-05,0.3558,6000,0.0012
CCX63,48,Dedicated,192,960,6.63014E-05,0.5337,8000,0.0012
